x,y,sigxx,sigyy,sigxy
211, 0, -132595, 33400.4, 152.249
211.5, 0, -132095, 33222.8, 121.799
212, 0, -131603, 33042.9, 86.9866
212.5, 0, -131118, 32862.1, 52.3021
213, 0, -130637, 32681.8, 21.2081
213.5, 0, -130161, 32501.9, -6.29536
214, 0, -129689, 32322.5, -30.2083
214.5, 0, -129222, 32143.6, -50.5307
215, 0, -128758, 31965.1, -67.2626
215.5, 0, -128299, 31787.1, -80.4039
216, 0, -127844, 31609.6, -89.9547
216.5, 0, -127394, 31432.5, -95.915
217, 0, -126947, 31255.9, -98.2848
217.5, 0, -126505, 31079.7, -97.064
218, 0, -126067, 30904, -92.2527
218.5, 0, -125634, 30728.8, -83.8508
219, 0, -125205, 30554.1, -71.8584
219.5, 0, -124780, 30379.8, -56.2755
220, 0, -124359, 30205.9, -37.1021
220.5, 0, -123943, 30032.6, -14.3381
221, 0, -123531, 29859.7, 12.0164
221.5, 0, -123101, 29694, 13.8609
222, 0, -122659, 29532.2, 0.302688
222.5, 0, -122217, 29370.5, -13.386
223, 0, -121775, 29208.8, -27.2051
223.5, 0, -121302, 29080, -14.3034
224, 0, -120834, 28950.4, 0.0459105
224.5, 0, -120375, 28816.5, 13.1853
225, 0, -119925, 28678.3, 25.1148
225.5, 0, -119483, 28535.8, 35.8345
226, 0, -119050, 28389, 45.3442
226.5, 0, -118625, 28237.9, 53.644
227, 0, -118210, 28082.6, 60.7339
227.5, 0, -117803, 27923, 66.614
228, 0, -117404, 27759.1, 71.2841
228.5, 0, -117015, 27590.9, 74.7443
229, 0, -116634, 27418.4, 76.9947
229.5, 0, -116262, 27241.6, 78.0351
230, 0, -115898, 27060.6, 77.8656
230.5, 0, -115543, 26875.2, 76.4863
231, 0, -115160, 26731.1, 56.6309
231.5, 0, -114776, 26587.8, 37.0598
232, 0, -114391, 26444.8, 18.0789
232.5, 0, -114007, 26302, -0.31179
233, 0, -113623, 26159.4, -18.1123
233.5, 0, -113238, 26017.1, -35.3226
234, 0, -112854, 25874.9, -51.9427
234.5, 0, -112469, 25733, -67.9726
235, 0, -112085, 25596.7, -73.3234
235.5, 0, -111707, 25469.2, -60.9749
236, 0, -111331, 25340.6, -49.2582
236.5, 0, -110960, 25211, -38.1734
237, 0, -110592, 25080.3, -27.7206
237.5, 0, -110227, 24948.5, -17.8996
