x,y,u1,u2,sxx,syy,sxy
0,-15.1,2.01805e-23,0.000846067,3.07883e+06,3.41847e+06,-144372
0,-15,2.11928e-23,0.000854613,3.13374e+06,3.47577e+06,-155001
0,-14.9,2.22077e-23,0.000863298,3.18865e+06,3.53306e+06,-165629
0,-14.8,2.32254e-23,0.000872123,3.24356e+06,3.59036e+06,-176258
0,-14.7,2.42457e-23,0.000881087,3.29847e+06,3.64765e+06,-186886
0,-14.6,2.52687e-23,0.00089019,3.35338e+06,3.70494e+06,-197515
0,-14.5,2.62944e-23,0.000899433,3.40829e+06,3.76224e+06,-208143
0,-14.4,2.73228e-23,0.000908815,3.4632e+06,3.81953e+06,-218772
0,-14.3,2.83539e-23,0.000918337,3.51811e+06,3.87683e+06,-229400
0,-14.2,1.21853e-10,0.000927986,3.5844e+06,3.9462e+06,-245583
0,-14.1,2.50782e-09,0.0009377,3.84115e+06,4.21738e+06,-350499
0,-14,5.11388e-09,0.00094782,4.07895e+06,4.46765e+06,-437961
0,-13.9,7.94e-09,0.000958347,4.2978e+06,4.69699e+06,-507968
0,-13.8,1.09862e-08,0.000969281,4.49768e+06,4.90542e+06,-560521
0,-13.7,1.42525e-08,0.000980621,4.67861e+06,5.09293e+06,-595620
0,-13.6,1.77389e-08,0.000992367,4.84058e+06,5.25951e+06,-613265
0,-13.5,2.14453e-08,0.00100452,4.9836e+06,5.40518e+06,-613456
0,-13.4,2.53718e-08,0.00101708,5.10765e+06,5.52993e+06,-596192
0,-13.3,2.95184e-08,0.00103004,5.21275e+06,5.63376e+06,-561474
0,-13.2,3.38851e-08,0.00104342,5.29889e+06,5.71667e+06,-509302
0,-13.1,3.84718e-08,0.00105719,5.36608e+06,5.77865e+06,-439675
0,-13,4.32787e-08,0.00107138,5.4143e+06,5.81972e+06,-352595
0,-12.9,4.83056e-08,0.00108597,5.44357e+06,5.83987e+06,-248060
0,-12.8,5.35526e-08,0.00110097,5.45389e+06,5.8391e+06,-126071
0,-12.7,5.90196e-08,0.00111637,5.44524e+06,5.81741e+06,13372.7
0,-12.6,6.47068e-08,0.00113218,5.41764e+06,5.7748e+06,170270
0,-12.5,7.0614e-08,0.0011484,5.37108e+06,5.71127e+06,344622
0,-12.4,7.67413e-08,0.00116502,5.30556e+06,5.62682e+06,536428
0,-12.3,8.30887e-08,0.00118205,5.22108e+06,5.52145e+06,745688
0,-12.2,8.96561e-08,0.00119949,5.11765e+06,5.39516e+06,972403
0,-12.1,9.64437e-08,0.00121733,4.99526e+06,5.24795e+06,1.21657e+06
0,-12,1.03451e-07,0.00123558,4.85391e+06,5.07983e+06,1.47819e+06
0,-11.9,1.10679e-07,0.00125424,4.69361e+06,4.89078e+06,1.75727e+06
