x,y,sigxx
90.4, 0, -386968
90.5, 0, -386968
90.6, 0, -386968
90.7, 0, -386968
90.8, 0, -386968
90.9, 0, -386968
91, 0, -386968
91.1, 0, -386968
91.2, 0, -386968
91.3, 0, -386351
91.4, 0, -385762
91.5, 0, -385762
91.6, 0, -385762
91.7, 0, -385762
91.8, 0, -385723
91.9, 0, -385723
92, 0, -385723
92.1, 0, -385723
92.2, 0, -385723
92.3, 0, -384629
92.4, 0, -384629
92.5, 0, -384629
92.6, 0, -384629
92.7, 0, -384629
92.8, 0, -384629
92.9, 0, -384629
93, 0, -384629
93.1, 0, -384629
93.2, 0, -383690
93.3, 0, -383690
93.4, 0, -383690
93.5, 0, -383690
93.6, 0, -383690
93.7, 0, -383589
93.8, 0, -383589
93.9, 0, -383589
94, 0, -383589
94.1, 0, -383589
94.2, 0, -382718
94.3, 0, -382718
94.4, 0, -382718
94.5, 0, -382718
94.6, 0, -382718
94.7, 0, -382788
94.8, 0, -382788
94.9, 0, -382788
95, 0, -382788
95.1, 0, -382788
95.2, 0, -382027
95.3, 0, -382027
95.4, 0, -382027
95.5, 0, -382027
95.6, 0, -382027
95.7, 0, -382027
95.8, 0, -382027
95.9, 0, -382027
96, 0, -382027
96.1, 0, -381443
96.2, 0, -381443
96.3, 0, -381443
96.4, 0, -381443
96.5, 0, -381443
96.6, 0, -381443
96.7, 0, -381443
96.8, 0, -381443
96.9, 0, -381443
97, 0, -381443
97.1, 0, -381031
97.2, 0, -381031
97.3, 0, -381031
97.4, 0, -381031
97.5, 0, -381031
97.6, 0, -381031
97.7, 0, -381004
97.8, 0, -381004
97.9, 0, -381004
98, 0, -381004
98.1, 0, -380807
98.2, 0, -380807
98.3, 0, -380807
98.4, 0, -380807
98.5, 0, -380807
98.6, 0, -380807
98.7, 0, -380768
98.8, 0, -380768
98.9, 0, -380768
99, 0, -380768
99.1, 0, -380614
99.2, 0, -380614
99.3, 0, -380614
99.4, 0, -380614
99.5, 0, -380614
99.6, 0, -380614
99.7, 0, -380614
99.8, 0, -380614
99.9, 0, -380614
