x,y,u1,u2
0.0920232,3.91374,0.00575899,-0.000908152
0.0921457,3.88481,0.00576675,-0.000901437
0.0922673,3.85584,0.00577445,-0.000894711
0.092388,3.82683,0.00578209,-0.000887975
0.0925077,3.79779,0.00578967,-0.000881229
0.0926266,3.76871,0.00579719,-0.000874474
0.0927445,3.73959,0.00580465,-0.000867708
0.0928615,3.71044,0.00581205,-0.000860933
0.0929776,3.68125,0.00581939,-0.000854147
0.0930928,3.65202,0.00582666,-0.000847352
0.0932071,3.62275,0.00583387,-0.000840547
0.0933205,3.59345,0.00584102,-0.000833733
0.0934329,3.56412,0.00584811,-0.00082692
0.0935444,3.53475,0.00585515,-0.000820118
0.093655,3.50534,0.00586214,-0.000813309
0.0937646,3.4759,0.00586907,-0.00080649
0.0938734,3.44643,0.00587594,-0.000799663
0.0939812,3.41692,0.00588276,-0.000792827
0.0940881,3.38738,0.00588952,-0.000785983
0.094194,3.3578,0.00589623,-0.000779131
0.0942991,3.3282,0.00590288,-0.00077227
0.0944031,3.29855,0.00590947,-0.000765401
0.0945063,3.26888,0.005916,-0.000758524
0.0946085,3.23917,0.00592247,-0.000751638
0.0947098,3.20944,0.00592889,-0.000744744
0.0948102,3.17967,0.00593525,-0.000737843
0.0949096,3.14987,0.00594155,-0.000730933
0.0950081,3.12003,0.00594779,-0.000724015
0.0951057,3.09017,0.00595397,-0.00071709
0.0952023,3.06028,0.00596009,-0.000710156
0.0952979,3.03035,0.00596615,-0.000703215
0.0953927,3.0004,0.00597216,-0.000696266
0.0954865,2.97042,0.0059781,-0.00068931
0.0955793,2.9404,0.00598398,-0.000682346
0.0956712,2.91036,0.0059898,-0.000675374
0.0957622,2.88029,0.00599556,-0.000668395
0.0958522,2.85019,0.00600125,-0.000661408
0.0959412,2.82007,0.00600689,-0.000654414
0.0960294,2.78991,0.00601246,-0.000647413
0.0961165,2.75973,0.00601798,-0.000640405
0.0962028,2.72952,0.00602342,-0.000633389
0.096288,2.69928,0.00602881,-0.000626366
0.0963724,2.66902,0.00603414,-0.000619336
0.0964557,2.63873,0.0060394,-0.0006123
0.0965382,2.60842,0.0060446,-0.000605256
0.0966196,2.57807,0.00604973,-0.000598207
0.0967001,2.54771,0.00605481,-0.000591171
