x,y,sigxx,sigyy,sigxy,ux,vy
-0.98, 0.32, -1.18313e+07, -3.08249e+06, -8681.86, -1.91282e-05, 0.000253301
-0.98, 0.34, -1.18517e+07, -3.0738e+06, -8707.62, -1.91721e-05, 0.000256935
-0.98, 0.36, -1.18723e+07, -3.06545e+06, -8191.19, -1.92159e-05, 0.000260601
-0.98, 0.38, -1.18928e+07, -3.05735e+06, -8047.16, -1.92592e-05, 0.000264297
-0.98, 0.4, -1.19131e+07, -3.04937e+06, -7722.8, -1.93025e-05, 0.000268024
-0.98, 0.42, -1.19333e+07, -3.04191e+06, -7048.66, -1.93445e-05, 0.000271781
-0.98, 0.44, -1.19533e+07, -3.0354e+06, -6926.09, -1.93859e-05, 0.000275565
-0.98, 0.46, -1.19722e+07, -3.02912e+06, -5901.48, -1.94266e-05, 0.000279378
-0.98, 0.48, -1.19911e+07, -3.02304e+06, -5251.21, -1.94653e-05, 0.000283216
-0.98, 0.5, -1.20097e+07, -3.01788e+06, -4956.99, -1.95036e-05, 0.000287079
-0.98, 0.52, -1.2028e+07, -3.01365e+06, -4157.61, -1.95399e-05, 0.000290966
-0.98, 0.54, -1.20455e+07, -3.00902e+06, -3983.48, -1.95749e-05, 0.000294874
-0.98, 0.56, -1.20621e+07, -3.00515e+06, -3083.31, -1.9609e-05, 0.000298803
-0.98, 0.58, -1.20786e+07, -3.00181e+06, -2556.52, -1.9641e-05, 0.000302751
-0.98, 0.6, -1.20944e+07, -2.99928e+06, -2116.02, -1.96726e-05, 0.000306718
-0.98, 0.62, -1.21096e+07, -2.99731e+06, -1115.61, -1.97022e-05, 0.0003107
-0.98, 0.64, -1.21248e+07, -2.99555e+06, -1294.1, -1.97308e-05, 0.000314698
-0.98, 0.66, -1.21399e+07, -2.99419e+06, -972.01, -1.97583e-05, 0.00031871
-0.98, 0.68, -1.2154e+07, -2.99346e+06, -720.508, -1.97845e-05, 0.000322736
-0.98, 0.7, -1.21679e+07, -2.99312e+06, -318.707, -1.98107e-05, 0.000326773
-0.98, 0.72, -1.21814e+07, -2.9933e+06, 283.492, -1.98357e-05, 0.000330822
-0.98, 0.74, -1.21951e+07, -2.99329e+06, 130.546, -1.98598e-05, 0.000334881
-0.98, 0.76, -1.22082e+07, -2.99358e+06, 375.216, -1.98838e-05, 0.00033895
-0.98, 0.78, -1.22213e+07, -2.99401e+06, 562.36, -1.99072e-05, 0.000343029
-0.98, 0.8, -1.22343e+07, -2.99462e+06, 649.138, -1.99305e-05, 0.000347117
-0.98, 0.82, -1.22473e+07, -2.99533e+06, 790.938, -1.99537e-05, 0.000351214
-0.98, 0.84, -1.22604e+07, -2.99612e+06, 771.989, -1.99769e-05, 0.00035532
-0.98, 0.86, -1.22736e+07, -2.9969e+06, 726.115, -2.00004e-05, 0.000359434
-0.98, 0.88, -1.2287e+07, -2.99758e+06, 737.044, -2.00242e-05, 0.000363558
-0.98, 0.9, -1.23004e+07, -2.99828e+06, 654.017, -2.00482e-05, 0.000367691
-0.98, 0.92, -1.23142e+07, -2.99894e+06, 478.068, -2.0073e-05, 0.000371833
-0.98, 0.94, -1.23282e+07, -2.99938e+06, 442.378, -2.0098e-05, 0.000375985
-0.98, 0.96, -1.23427e+07, -2.99966e+06, 158.074, -2.01236e-05, 0.000380147
-0.98, 0.98, -1.23573e+07, -2.99989e+06, 2.31307, -2.01503e-05, 0.000384321
-0.96, -1, -1.22777e+07, -2.84029e+06, 57.8117, -4.02577e-05, -8.04657e-26
-0.96, -0.98, -1.22769e+07, -2.84047e+06, 245.163, -4.02562e-05, 4.40713e-06
-0.96, -0.96, -1.22759e+07, -2.84063e+06, 629.365, -4.02529e-05, 8.81315e-06
-0.96, -0.94, -1.22743e+07, -2.84078e+06, 1023.59, -4.02469e-05, 1.32177e-05
-0.96, -0.92, -1.22723e+07, -2.84149e+06, 1429.47, -4.02381e-05, 1.76203e-05
-0.96, -0.9, -1.22699e+07, -2.84232e+06, 1767.49, -4.0227e-05, 2.20194e-05
-0.96, -0.88, -1.22666e+07, -2.84324e+06, 2215.6, -4.02132e-05, 2.6415e-05
-0.96, -0.86, -1.2262e+07, -2.8444e+06, 2667.35, -4.01967e-05, 3.08054e-05
-0.96, -0.84, -1.22574e+07, -2.84557e+06, 3102.91, -4.01775e-05, 3.51901e-05
-0.96, -0.82, -1.22518e+07, -2.84723e+06, 3559.52, -4.01555e-05, 3.95684e-05
-0.96, -0.8, -1.22459e+07, -2.84917e+06, 4082.83, -4.01305e-05, 4.39387e-05
-0.96, -0.78, -1.22395e+07, -2.85131e+06, 4814.05, -4.01024e-05, 4.83006e-05
-0.96, -0.76, -1.2232e+07, -2.85407e+06, 5521.74, -4.00711e-05, 5.26525e-05
-0.96, -0.74, -1.22245e+07, -2.85683e+06, 6229.42, -4.00367e-05, 5.69934e-05
-0.96, -0.72, -1.22151e+07, -2.86032e+06, 7027.73, -3.99986e-05, 6.13223e-05
-0.96, -0.7, -1.22054e+07, -2.86396e+06, 7732.11, -3.99572e-05, 6.56372e-05
-0.96, -0.68, -1.2195e+07, -2.86785e+06, 8756.09, -3.9912e-05, 6.99376e-05
-0.96, -0.66, -1.2183e+07, -2.87268e+06, 9636.83, -3.98632e-05, 7.42215e-05
-0.96, -0.64, -1.2171e+07, -2.87752e+06, 10517.6, -3.98108e-05, 7.84875e-05
-0.96, -0.62, -1.21575e+07, -2.88317e+06, 11628.5, -3.97538e-05, 8.27344e-05
-0.96, -0.6, -1.21436e+07, -2.88913e+06, 12517.1, -3.96935e-05, 8.69598e-05
-0.96, -0.58, -1.21289e+07, -2.89524e+06, 13755, -3.9629e-05, 9.11631e-05
-0.96, -0.56, -1.21124e+07, -2.90225e+06, 14642.7, -3.95604e-05, 9.5342e-05
-0.96, -0.54, -1.20959e+07, -2.90926e+06, 15530.5, -3.94882e-05, 9.94949e-05
-0.96, -0.52, -1.20784e+07, -2.91753e+06, 16788.6, -3.94116e-05, 0.00010362
-0.96, -0.5, -1.20602e+07, -2.92629e+06, 17784.8, -3.93316e-05, 0.000107716
-0.96, -0.48, -1.20414e+07, -2.93524e+06, 19139, -3.92481e-05, 0.000111782
-0.96, -0.46, -1.2021e+07, -2.94536e+06, 20084.1, -3.91609e-05, 0.000115815
-0.96, -0.44, -1.20009e+07, -2.95544e+06, 20995.2, -3.90709e-05, 0.000119813
-0.96, -0.42, -1.198e+07, -2.96618e+06, 21729.3, -3.8978e-05, 0.000123777
-0.96, -0.4, -1.19585e+07, -2.97758e+06, 22845, -3.88827e-05, 0.000127704
-0.96, -0.38, -1.19369e+07, -2.98919e+06, 23688.8, -3.8785e-05, 0.000131593
-0.96, -0.36, -1.19147e+07, -3.00134e+06, 24124.2, -3.86861e-05, 0.000135444
-0.96, -0.34, -1.18925e+07, -3.01349e+06, 24573, -3.85861e-05, 0.000139255
-0.96, -0.32, -1.18702e+07, -3.02593e+06, 24674.3, -3.84857e-05, 0.000143027
-0.96, -0.3, -1.1848e+07, -3.03866e+06, 24752, -3.83857e-05, 0.000146758
-0.96, -0.28, -1.1826e+07, -3.05125e+06, 24776.4, -3.82867e-05, 0.000150449
-0.96, -0.26, -1.1804e+07, -3.06339e+06, 24448.2, -3.8189e-05, 0.000154101
-0.96, -0.24, -1.17821e+07, -3.07552e+06, 24135.5, -3.80943e-05, 0.000157713
-0.96, -0.22, -1.17629e+07, -3.08733e+06, 23323.5, -3.80023e-05, 0.000161287
-0.96, -0.2, -1.17437e+07, -3.0992e+06, 22032.3, -3.79146e-05, 0.000164825
-0.96, -0.18, -1.1726e+07, -3.11007e+06, 21155.2, -3.7832e-05, 0.000168327
-0.96, -0.16, -1.17091e+07, -3.12019e+06, 19385.1, -3.7754e-05, 0.000171797
-0.96, -0.14, -1.1693e+07, -3.12994e+06, 18010.4, -3.76839e-05, 0.000175235
-0.96, -0.12, -1.16799e+07, -3.1383e+06, 16181.1, -3.76189e-05, 0.000178645
-0.96, -0.1, -1.16667e+07, -3.14663e+06, 13840.6, -3.75624e-05, 0.00018203
